,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
58,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
59,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
60,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
61,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
62,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
63,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
64,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
65,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
66,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
67,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
68,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
69,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
70,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
71,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
72,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
73,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
74,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
75,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
76,['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],['Mon'],"['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']","['Wed', 'Tue', 'Mon']"
